date,country_or_territory_name,confirmed_cases,probable_cases,confirmed_deaths,probable_deaths,recovered,percentage_increase_confirmed,transmission_type
2020-04-12,Canada,23702,17.0,674.0,,4884.0,5.0,Community transmission
2020-04-12,Mexico,4219,,273.0,,,10.0,Community transmission
2020-04-12,United States of America (the),524514,,20444.0,,23969.0,6.0,Community transmission
2020-04-12,North America,552435,17.0,21391.0,0,28853.0,6.0,
2020-04-12,Belize,13,,2.0,,,30.0,Sporadic cases
2020-04-12,Costa Rica,577,,3.0,,49.0,3.0,Clusters of cases
2020-04-12,El Salvador,125,,6.0,,21.0,6.0,Clusters of cases
2020-04-12,Guatemala,153,,3.0,,19.0,12.0,Clusters of cases
2020-04-12,Honduras,393,,25.0,,7.0,0.0,Clusters of cases
2020-04-12,Nicaragua,9,,1.0,,3.0,57.0,Undetermined
2020-04-12,Panama,3234,,79.0,,23.0,9.0,Community transmission
2020-04-12,Central America,4506,0.0,119.0,0,122.0,7.0,
2020-04-12,Argentina,1975,,82.0,,375.0,0.0,Community transmission
2020-04-12,Bolivia,300,,24.0,,2.0,9.0,Clusters of cases
2020-04-12,Brazil,20727,,1124.0,,,6.0,Community transmission
2020-04-12,Chile,7213,,80.0,,1864.0,4.0,Community transmission
2020-04-12,Colombia,2709,,100.0,,214.0,10.0,Community transmission
2020-04-12,Ecuador,7466,,333.0,384,411.0,3.0,Community transmission
2020-04-12,Paraguay,134,,6.0,,18.0,1.0,Community transmission
2020-04-12,Peru,6848,,181.0,,989.0,16.0,Community transmission
2020-04-12,Uruguay,501,,7.0,,224.0,1.0,Clusters of cases
2020-04-12,Venezuela (Bolivarian Republic of),171,,9.0,,84.0,0.0,Clusters of cases
2020-04-12,South America,48044,0.0,1946.0,384,4181.0,6.0,
2020-04-12,Anguilla,3,,,,1.0,0.0,Sporadic cases
2020-04-12,Antigua and Barbuda,21,,2.0,,1.0,0.0,Clusters of cases
2020-04-12,Aruba,92,,,,29.0,0.0,Clusters of cases
2020-04-12,Bahamas (the),42,,8.0,,5.0,0.0,Clusters of cases
2020-04-12,Barbados,68,,4.0,,11.0,1.0,Clusters of cases
2020-04-12,Bermuda,50,,4.0,,28.0,4.0,Clusters of cases
2020-04-12,"Bonaire, Sint Eustatius, and Saba",3,,,,,50.0,Sporadic cases
2020-04-12,Cayman Islands,53,,1.0,,7.0,18.0,Clusters of cases
2020-04-12,Cuba,669,,18.0,,92.0,8.0,Clusters of cases
2020-04-12,Curacao,14,,1.0,,8.0,0.0,Sporadic cases
2020-04-12,Dominica,16,,,,7.0,0.0,Clusters of cases
2020-04-12,Dominican Republic (the),2967,,173.0,,131.0,13.0,Community transmission
2020-04-12,Falkland Islands (the) [Malvinas],5,,,,2.0,0.0,Clusters of cases
2020-04-12,French Guiana,86,,,,51.0,0.0,Clusters of cases
2020-04-12,Grenada,14,,,,,0.0,Clusters of cases
2020-04-12,Guadeloupe,143,,8.0,,67.0,0.0,Clusters of cases
2020-04-12,Guyana,37,,6.0,,11.0,0.0,Clusters of cases
2020-04-12,Haiti,31,,2.0,,,0.0,Community transmission
2020-04-12,Jamaica,69,,4.0,,13.0,6.0,Clusters of cases
2020-04-12,Martinique,156,,6.0,,50.0,1.0,Clusters of cases
2020-04-12,Montserrat,9,,,,,0.0,Sporadic cases
2020-04-12,Puerto Rico,897,,44.0,,,14.0,Clusters of cases
2020-04-12,Saint Barthelemy,6,,,,4.0,0.0,Sporadic cases
2020-04-12,Saint Kitts and Nevis,12,,,,,0.0,Sporadic cases
2020-04-12,Saint Lucia,15,,,,,0.0,Sporadic cases
2020-04-12,Saint Martin,33,,2.0,,13.0,0.0,Sporadic cases
2020-04-12,Saint Pierre and Miquelon,1,,,,,0.0,Sporadic cases
2020-04-12,Saint Vincent and the Grenadines,12,,,,1.0,0.0,Sporadic cases
2020-04-12,Sint Maarten,50,,9.0,,5.0,0.0,Clusters of cases
2020-04-12,Suriname,10,,1.0,,4.0,0.0,Sporadic cases
2020-04-12,Trinidad and Tobago,112,,8.0,,12.0,3.0,Clusters of cases
2020-04-12,Turks and Caicos,9,,1.0,,,13.0,Sporadic cases
2020-04-12,Virgin Islands (UK),3,,,,,0.0,Sporadic cases
2020-04-12,Virgin Islands (US)*,51,,1.0,,43.0,0.0,Clusters of cases
2020-04-12,"Caribbean and Atlantic Ocean 
Islands",5759,0.0,303.0,0,596.0,10.0,
2020-04-12,All Americas,610744,17.0,23759.0,384,33752.0,6.0,
